feature,importance
aa_000,0.07351588571855887
ci_000,0.06950266307473227
dn_000,0.062444339345428757
ck_000,0.04939552948023699
bj_000,0.04619318177720647
ap_000,0.040695359202817714
bt_000,0.03899058815104077
bu_000,0.03803387305435811
cq_000,0.03679110795684943
bv_000,0.03667307018119009
aq_000,0.030784554613321646
bh_000,0.024789065592543014
ao_000,0.022266337836580538
cs_002,0.01813429927307276
bb_000,0.0175056432973557
cc_000,0.016186538985773286
by_000,0.01609555241420354
cn_003,0.015645711540016857
ah_000,0.015345764722285493
an_000,0.013730715776177375
bi_000,0.013275858016026976
bg_000,0.012595060772114279
ba_002,0.011006559392228091
ba_001,0.010704422083561094
ba_000,0.009830133439955063
az_000,0.009676477335328152
cs_004,0.009310590672628223
ag_005,0.008765154466211069
ay_008,0.008501827134978176
ee_000,0.008348965102251305
bx_000,0.007639004483832125
ag_004,0.007623121501117057
az_002,0.006622560764666241
ba_004,0.006516120753265434
az_001,0.006157006432332349
cn_004,0.005760540847873673
ee_005,0.005417412740244353
ba_003,0.00495618036506413
cs_000,0.004795159875030238
cs_003,0.00461572874005969
cn_001,0.003971630326392893
ag_002,0.003952002048909052
ee_002,0.003850639352921751
ee_007,0.00381468778811555
cn_002,0.0037248836404194306
cs_005,0.003560371053774265
ee_006,0.0035384273039126596
ag_003,0.0031367015081758096
ee_001,0.003134937937015453
az_005,0.0030321552151638263
ai_000,0.0028756931064677985
ay_006,0.0028675131390430574
ba_008,0.002720732575897588
al_000,0.0026940704535904896
am_0,0.002683503989976212
dd_000,0.002583745409150834
ba_005,0.0024419313246112706
bk_000,0.0024188921462832925
cs_001,0.002180019271254908
bs_000,0.0020013005077981426
cn_000,0.0019406064505409608
az_003,0.001871200312077099
cj_000,0.0017387944081138065
ba_009,0.001723845141969923
bm_000,0.001689609147148529
cb_000,0.0016429378138635303
de_000,0.0016378802997693684
cn_005,0.001567431697549181
bl_000,0.0015530488607023633
ay_007,0.0015180980074120769
cg_000,0.0015029531717606983
bo_000,0.001491248288270279
bn_000,0.0014619610844108471
be_000,0.0014547148911820856
bc_000,0.0014447670027168814
az_006,0.0014371201106747513
cn_007,0.0013966441941934997
ag_006,0.0013470679392809577
ca_000,0.0013440830301533464
cs_007,0.0013429428221225712
eb_000,0.0013366979842668247
cn_006,0.0013149606047070522
dt_000,0.001308745126586443
cp_000,0.0012765890438244055
ba_006,0.0012694394772426007
du_000,0.0012595269687008484
dv_000,0.001253268590636192
cn_008,0.0012506643989829741
ee_008,0.0012458997027888592
dx_000,0.0012396008750085307
ds_000,0.0012263213484325064
cs_008,0.0012128375150564396
cu_000,0.0012033586787134204
bd_000,0.0011978281280023274
bz_000,0.0011959056715185469
dr_000,0.001168713678064969
ee_004,0.0011634260009197423
br_000,0.0011587024861746448
az_004,0.0011466485848146352
cx_000,0.0011385963076966
dq_000,0.0011191210182701936
cn_009,0.0011162429507041234
bp_000,0.0010971780398986923
dy_000,0.0010913536533267891
ag_007,0.0010759430415205995
ec_00,0.0010631894553778166
ag_008,0.0010579471015065229
ed_000,0.0010522499631276105
cs_006,0.0010387536975158933
cl_000,0.0010258306412729964
cm_000,0.0010189176840389104
ba_007,0.0009774978195924019
ce_000,0.0009338121207579197
aj_000,0.0009158603989181571
dp_000,0.000913390088188748
ax_000,0.0009017469361691147
ac_000,0.0008815410784478762
ee_003,0.0008618612933557272
co_000,0.0008455721441040931
bf_000,0.0008379725791447712
bq_000,0.0008363991725766555
dc_000,0.0008359591292425643
ay_005,0.0008232997563834798
ee_009,0.0007973032064515729
ag_009,0.0007941200844234984
ct_000,0.0007926136043450252
do_000,0.0007815723535485357
ad_000,0.000760982082092714
cv_000,0.0007554246582284869
cz_000,0.0006523449286099242
av_000,0.000651530540017909
ay_001,0.0006434010037378417
az_007,0.0006428556614029578
cf_000,0.0006293956142882974
ag_001,0.0005922149465256544
ay_003,0.0005859649237544732
db_000,0.000575458254403797
ay_000,0.0005558230339251443
ay_004,0.0005303820388425202
az_008,0.0005250460019871856
ay_002,0.0005095891600590082
dh_000,0.00045560620949381775
at_000,0.00040616280314094243
di_000,0.00037603686379102694
ar_000,0.0003616170603211783
cs_009,0.00030212194432893404
dg_000,0.00025640239397215045
cy_000,0.000254818208689082
da_000,0.00023975248909451264
ab_000,0.00018400754125270653
ay_009,0.00017055409287514674
az_009,0.0001626313641807698
ae_000,0.00015239581024589736
au_000,0.00015235358405351457
df_000,0.00014556331407822353
af_000,0.00012127943475251104
ea_000,0.0001035540350699151
cr_000,0.00010194739169315949
ak_000,7.753156133076234e-05
dz_000,5.231828442302902e-05
as_000,2.9807773083382068e-05
ag_000,2.7867589651138798e-05
eg_000,2.4308512834363336e-05
ef_000,2.000266617589929e-05
dk_000,1.4364564629815923e-05
dj_000,1.1634400355101712e-05
dm_000,8.321313676130766e-07
dl_000,6.752575861545108e-07
ch_000,7.857797506695081e-18
cd_000,0.0
